iguanaID,tx,diet,lps,time,igy
24,G-L,g,l,0525igy,0.136026786
24,G-L,g,l,0530igy,0.159776786
24,G-L,g,l,0603igy,0.166071429
24,G-L,g,l,0610igy,0.167857143
24,G-L,g,l,0624igy,0.130848214
25,G-C,g,c,0423igy,0.007182717
25,G-C,g,c,0428igy,0.084464286
25,G-C,g,c,0430igy,0.045401786
25,G-C,g,c,0525igy,0.106875
25,G-C,g,c,0528igy,0.107767857
25,G-C,g,c,0603igy,0.0940625
25,G-C,g,c,0610igy,0.190446429
26,W-L,w,l,0423igy,0.011579241
26,W-L,w,l,0428igy,0.057321429
26,W-L,w,l,0430igy,0.054553571
26,W-L,w,l,0504igy,0.119642857
26,W-L,w,l,0511igy,0.202633929
26,W-L,w,l,0525igy,0.179107143
26,W-L,w,l,0528igy,0.165982143
26,W-L,w,l,0530igy,0.121160714
26,W-L,w,l,0603igy,0.135580357
26,W-L,w,l,0610igy,0.157544643
26,W-L,w,l,0624igy,0.024776786
27,W-C,w,c,0423igy,0.004607781
27,W-C,w,c,0428igy,0.043839286
27,W-C,w,c,0430igy,0.11
27,W-C,w,c,0504igy,0.057098214
27,W-C,w,c,0511igy,0.084642857
27,W-C,w,c,0525igy,0.056919643
27,W-C,w,c,0528igy,0.054598214
27,W-C,w,c,0603igy,0.044017857
27,W-C,w,c,0610igy,0.087410714
27,W-C,w,c,0624igy,0.008348214
28,G-L,g,l,0428igy,0.080535714
28,G-L,g,l,0430igy,0.046026786
28,G-L,g,l,0504igy,0.101651786
28,G-L,g,l,0528igy,0.068125
28,G-L,g,l,0530igy,0.037946429
28,G-L,g,l,0603igy,0.171473214
28,G-L,g,l,0610igy,0.1428125
28,G-L,g,l,0624igy,0.169866071
29,G-L,g,l,0423igy,0.063660714
29,G-L,g,l,0428igy,0.055982143
29,G-L,g,l,0430igy,0.0515625
29,G-L,g,l,0504igy,0.205625
29,G-L,g,l,0511igy,0.109241071
29,G-L,g,l,0525igy,0.125982143
29,G-L,g,l,0528igy,0.066964286
29,G-L,g,l,0530igy,0.165357143
29,G-L,g,l,0603igy,0.160803571
29,G-L,g,l,0624igy,0.199330357
30,W-C,w,c,0428igy,0.056160714
30,W-C,w,c,0430igy,0.056830357
30,W-C,w,c,0504igy,0.036428571
30,W-C,w,c,0525igy,0.030848214
30,W-C,w,c,0528igy,0.040580357
30,W-C,w,c,0530igy,0.010982143
30,W-C,w,c,0610igy,0.033973214
30,W-C,w,c,0624igy,0.133973214
31,G-L,g,l,0423igy,0.087142857
31,G-L,g,l,0428igy,0.034419643
31,G-L,g,l,0430igy,0.040982143
31,G-L,g,l,0504igy,0.106339286
31,G-L,g,l,0511igy,0.213258929
31,G-L,g,l,0525igy,0.145223214
31,G-L,g,l,0528igy,0.227767857
31,G-L,g,l,0530igy,0.114508929
31,G-L,g,l,0603igy,0.155267857
31,G-L,g,l,0610igy,0.121383929
31,G-L,g,l,0624igy,0.153303571
32,W-L,w,l,0423igy,0.045580357
32,W-L,w,l,0428igy,0.022544643
32,W-L,w,l,0430igy,0.091830357
32,W-L,w,l,0525igy,0.065178571
32,W-L,w,l,0528igy,0.074241071
32,W-L,w,l,0530igy,0.067008929
32,W-L,w,l,0603igy,0.063526786
32,W-L,w,l,0610igy,0.060535714
32,W-L,w,l,0624igy,0.078705357
33,W-C,w,c,0423igy,0.051160714
33,W-C,w,c,0428igy,0.02875
33,W-C,w,c,0430igy,0.030625
33,W-C,w,c,0504igy,0.072098214
33,W-C,w,c,0511igy,0.046294643
33,W-C,w,c,0525igy,0.082544643
33,W-C,w,c,0528igy,0.108482143
33,W-C,w,c,0530igy,0.004375
33,W-C,w,c,0603igy,0.046160714
33,W-C,w,c,0610igy,0.030446429
33,W-C,w,c,0624igy,0.055
34,W-C,w,c,0423igy,0.067678571
34,W-C,w,c,0428igy,0.058794643
34,W-C,w,c,0430igy,0.058214286
34,W-C,w,c,0504igy,0.051071429
34,W-C,w,c,0511igy,0.061383929
34,W-C,w,c,0525igy,0.068348214
34,W-C,w,c,0528igy,0.096785714
34,W-C,w,c,0530igy,0.032410714
34,W-C,w,c,0610igy,0.0471875
34,W-C,w,c,0624igy,0.039375
35,W-L,w,l,0423igy,0.200892857
35,W-L,w,l,0428igy,0.076607143
35,W-L,w,l,0430igy,0.079955357
35,W-L,w,l,0504igy,0.145089286
35,W-L,w,l,0511igy,0.179375
35,W-L,w,l,0525igy,0.103169643
35,W-L,w,l,0528igy,0.132991071
35,W-L,w,l,0530igy,0.106607143
35,W-L,w,l,0603igy,0.130178571
35,W-L,w,l,0610igy,0.075267857
35,W-L,w,l,0624igy,0.122053571
36,G-L,g,l,0504igy,0.111964286
36,G-L,g,l,0511igy,0.153169643
36,G-L,g,l,0525igy,0.131517857
36,G-L,g,l,0528igy,0.0790625
36,G-L,g,l,0610igy,0.073839286
36,G-L,g,l,0624igy,0.161830357
