iguanaID,tx,diet,lps,time,bka
23,G-C,g,c,0610bka,36.8869936
23,G-C,g,c,0624bka,11.7654398
24,G-L,g,l,0525bka,55.44264217
24,G-L,g,l,0528bka,4.003170828
24,G-L,g,l,0530bka,52.08086
24,G-L,g,l,0603bka,39.26701571
24,G-L,g,l,0610bka,20.13044024
24,G-L,g,l,0624bka,10.16843419
25,G-C,g,c,0525bka,69.08344733
25,G-C,g,c,0528bka,82.16409037
25,G-C,g,c,0530bka,0
25,G-C,g,c,0603bka,70.71235919
25,G-C,g,c,0610bka,13.30741252
25,G-C,g,c,0624bka,11.49095446
26,W-L,w,l,0525bka,59.62478014
26,W-L,w,l,0528bka,66.82520809
26,W-L,w,l,0530bka,69.4411415
26,W-L,w,l,0603bka,68.49119467
26,W-L,w,l,0610bka,36.33513107
26,W-L,w,l,0624bka,90.06862133
27,W-C,w,c,0525bka,0
27,W-C,w,c,0528bka,87.51486326
27,W-C,w,c,0530bka,88.46611177
27,W-C,w,c,0603bka,84.2614628
27,W-C,w,c,0610bka,93.20205694
27,W-C,w,c,0624bka,88.12227074
28,G-L,g,l,0525bka,68.3408247
28,G-L,g,l,0528bka,84.30439952
28,G-L,g,l,0530bka,69.98661824
28,G-L,g,l,0603bka,0
28,G-L,g,l,0610bka,13.2572432
28,G-L,g,l,0624bka,11.34123518
29,G-L,g,l,0525bka,0
29,G-L,g,l,0528bka,86.12762584
29,G-L,g,l,0530bka,2.504301281
29,G-L,g,l,0603bka,0
29,G-L,g,l,0610bka,44.56289979
29,G-L,g,l,0624bka,10.29320025
30,W-C,w,c,0525bka,77.76040649
30,W-C,w,c,0528bka,88.06975822
30,W-C,w,c,0530bka,2.198432422
30,W-C,w,c,0603bka,84.64223386
30,W-C,w,c,0610bka,89.46444249
30,W-C,w,c,0624bka,90.51777916
31,G-L,g,l,0525bka,74.16454954
31,G-L,g,l,0528bka,81.25247721
31,G-L,g,l,0530bka,74.53641751
31,G-L,g,l,0603bka,0
31,G-L,g,l,0610bka,75.74313307
31,G-L,g,l,0624bka,12.13973799
32,W-L,w,l,0525bka,85.92925542
32,W-L,w,l,0528bka,78.6365438
32,W-L,w,l,0530bka,0
32,W-L,w,l,0603bka,10.01110582
32,W-L,w,l,0610bka,91.29562273
32,W-L,w,l,0624bka,82.25826575
33,W-C,w,c,0525bka,0
33,W-C,w,c,0528bka,0
33,W-C,w,c,0530bka,93.95909004
33,W-C,w,c,0603bka,0
33,W-C,w,c,0610bka,92.12341653
33,W-C,w,c,0624bka,92.51403618
34,W-C,w,c,0525bka,82.8805941
34,W-C,w,c,0528bka,83.07570353
34,W-C,w,c,0530bka,80.92142994
34,W-C,w,c,0603bka,83.72203713
34,W-C,w,c,0610bka,25.27279569
34,W-C,w,c,0624bka,90.16843419
35,W-L,w,l,0525bka,78.73754153
35,W-L,w,l,0528bka,83.94768133
35,W-L,w,l,0530bka,78.32154464
35,W-L,w,l,0603bka,81.7864509
35,W-L,w,l,0610bka,91.52138467
35,W-L,w,l,0624bka,87.82283219
36,G-L,g,l,0525bka,56.81063123
36,G-L,g,l,0528bka,80.7372176
36,G-L,g,l,0530bka,0
36,G-L,g,l,0603bka,0
36,G-L,g,l,0610bka,38.06597266
36,G-L,g,l,0624bka,42.00873362
