iguanaID,tx,diet,lps,time,bka
24,G-L,g,l,0428bka,100
24,G-L,g,l,0430bka,68.00744013
24,G-L,g,l,0504bka,51.65984538
24,G-L,g,l,0511bka,78.72256278
24,G-L,g,l,0525bka,55.44264217
25,G-C,g,c,0423bka,62.68061784
25,G-C,g,c,0428bka,100
25,G-C,g,c,0430bka,74.42455243
25,G-C,g,c,0504bka,0
25,G-C,g,c,0511bka,43.64247578
25,G-C,g,c,0525bka,69.08344733
26,W-L,w,l,0423bka,0
26,W-L,w,l,0428bka,100
26,W-L,w,l,0430bka,68.79795396
26,W-L,w,l,0504bka,63.21055025
26,W-L,w,l,0511bka,5.912596401
26,W-L,w,l,0525bka,59.62478014
27,W-C,w,c,0423bka,55.15695067
27,W-C,w,c,0428bka,100
27,W-C,w,c,0430bka,72.61102069
27,W-C,w,c,0504bka,63.16507503
27,W-C,w,c,0511bka,69.86355547
27,W-C,w,c,0525bka,0
28,G-L,g,l,0423bka,8.1714001
28,G-L,g,l,0428bka,100
28,G-L,g,l,0430bka,64.89188561
28,G-L,g,l,0504bka,61.52796726
28,G-L,g,l,0511bka,0
28,G-L,g,l,0525bka,68.3408247
29,G-L,g,l,0423bka,54.06078724
29,G-L,g,l,0428bka,100
29,G-L,g,l,0430bka,70.70448733
29,G-L,g,l,0504bka,0
29,G-L,g,l,0511bka,70.41724342
29,G-L,g,l,0525bka,0
30,W-C,w,c,0423bka,0
30,W-C,w,c,0428bka,100
30,W-C,w,c,0430bka,76.28458498
30,W-C,w,c,0504bka,66.84856753
30,W-C,w,c,0511bka,85.48546569
30,W-C,w,c,0525bka,77.76040649
31,G-L,g,l,0423bka,67.76283009
31,G-L,g,l,0428bka,100
31,G-L,g,l,0430bka,69.68146943
31,G-L,g,l,0504bka,60.07276035
31,G-L,g,l,0511bka,0
31,G-L,g,l,0525bka,74.16454954
32,W-L,w,l,0423bka,76.88091679
32,W-L,w,l,0428bka,100
32,W-L,w,l,0430bka,61.96233434
32,W-L,w,l,0504bka,0
32,W-L,w,l,0511bka,2.985960055
32,W-L,w,l,0525bka,85.92925542
33,W-C,w,c,0423bka,70.95166916
33,W-C,w,c,0430bka,79.7256452
33,W-C,w,c,0504bka,30.60482037
33,W-C,w,c,0511bka,0
33,W-C,w,c,0525bka,0
34,W-C,w,c,0423bka,69.7060289
34,W-C,w,c,0428bka,100
34,W-C,w,c,0430bka,68.75145315
34,W-C,w,c,0504bka,60.98226467
34,W-C,w,c,0511bka,78.80166106
34,W-C,w,c,0525bka,82.8805941
35,W-L,w,l,0423bka,64.62381664
35,W-L,w,l,0428bka,100
35,W-L,w,l,0430bka,67.12392467
35,W-L,w,l,0504bka,56.84402001
35,W-L,w,l,0511bka,1.839035001
35,W-L,w,l,0525bka,78.73754153
36,G-L,g,l,0423bka,0
36,G-L,g,l,0504bka,63.80172806
36,G-L,g,l,0511bka,0
36,G-L,g,l,0525bka,56.81063123
