iguanaID,tx,diet,lps,time,drom
10,W-L,w,l,0610dromstd,-0.422185266
10,W-L,w,l,0624dromstd,1.782826229
10,W-L,w,l,0628dromstd,-1.351010709
11,G-C,g,c,0423dromstd,-0.588724586
11,G-C,g,c,0428dromstd,0.605100926
11,G-C,g,c,0430dromstd,-0.123413136
11,G-C,g,c,0504dromstd,-0.260330051
11,G-C,g,c,0511dromstd,3.296679316
11,G-C,g,c,0525dromstd,-0.367779006
11,G-C,g,c,0528dromstd,0.088187999
11,G-C,g,c,0530dromstd,-0.420423586
11,G-C,g,c,0603dromstd,0.086964375
11,G-C,g,c,0610dromstd,1.213203299
11,G-C,g,c,0624dromstd,0.996065388
11,G-C,g,c,0628dromstd,-0.063930693
12,W-L,w,l,0423dromstd,-1.7148252
12,W-L,w,l,0428dromstd,-0.768005956
12,W-L,w,l,0430dromstd,0.229766214
12,W-L,w,l,0504dromstd,-0.804565882
12,W-L,w,l,0511dromstd,-0.658490407
12,W-L,w,l,0525dromstd,-0.00161068
12,W-L,w,l,0528dromstd,0.292354037
12,W-L,w,l,0530dromstd,0.343538309
12,W-L,w,l,0603dromstd,0.643574983
12,W-L,w,l,0610dromstd,-0.44256394
12,W-L,w,l,0624dromstd,-0.227992453
12,W-L,w,l,0628dromstd,-0.754174358
13,G-C,g,c,0423dromstd,-0.707985751
13,G-C,g,c,0428dromstd,-0.319059706
13,G-C,g,c,0430dromstd,-1.342451539
13,G-C,g,c,0504dromstd,0.416397649
13,G-C,g,c,0511dromstd,-0.8134352
13,G-C,g,c,0525dromstd,0.045686062
13,G-C,g,c,0528dromstd,0.353603849
13,G-C,g,c,0530dromstd,-0.796798943
13,G-C,g,c,0603dromstd,-0.767781644
13,G-C,g,c,0610dromstd,-0.670550352
13,G-C,g,c,0624dromstd,0.599881782
13,G-C,g,c,0628dromstd,0.309698568
14,G-L,g,l,0423dromstd,0.016755174
14,G-L,g,l,0428dromstd,-0.273687478
14,G-L,g,l,0430dromstd,0.849539009
14,G-L,g,l,0504dromstd,-0.305173453
14,G-L,g,l,0511dromstd,-0.887995101
14,G-L,g,l,0525dromstd,-0.645456654
14,G-L,g,l,0528dromstd,-0.629309793
14,G-L,g,l,0530dromstd,-0.263467054
14,G-L,g,l,0603dromstd,-0.591362065
14,G-L,g,l,0610dromstd,-0.111410492
14,G-L,g,l,0624dromstd,-0.403658769
14,G-L,g,l,0628dromstd,-0.249532241
15,G-C,g,c,0423dromstd,3.638166315
15,G-C,g,c,0428dromstd,-0.357267897
15,G-C,g,c,0430dromstd,0.12950885
15,G-C,g,c,0504dromstd,0.061727107
15,G-C,g,c,0511dromstd,-0.43131571
15,G-C,g,c,0525dromstd,-0.402870138
15,G-C,g,c,0528dromstd,-0.240375176
15,G-C,g,c,0530dromstd,1.453445213
15,G-C,g,c,0603dromstd,-0.810177046
15,G-C,g,c,0610dromstd,-0.800464397
15,G-C,g,c,0624dromstd,-1.111930405
15,G-C,g,c,0628dromstd,-0.687262118
16,W-C,w,c,0423dromstd,-0.508452648
16,W-C,w,c,0428dromstd,-0.913674686
16,W-C,w,c,0430dromstd,-1.007891255
16,W-C,w,c,0504dromstd,-0.343901845
16,W-C,w,c,0511dromstd,-0.569950525
16,W-C,w,c,0525dromstd,-0.195374753
16,W-C,w,c,0528dromstd,3.891371787
16,W-C,w,c,0530dromstd,-0.508511435
16,W-C,w,c,0603dromstd,1.424470946
16,W-C,w,c,0610dromstd,-0.690929026
16,W-C,w,c,0624dromstd,-0.788629632
16,W-C,w,c,0628dromstd,-0.605200993
17,W-L,w,l,0423dromstd,-0.311213029
17,W-L,w,l,0428dromstd,-0.682037525
17,W-L,w,l,0430dromstd,-1.530835612
17,W-L,w,l,0504dromstd,-1.503715283
17,W-L,w,l,0511dromstd,-0.518690594
17,W-L,w,l,0525dromstd,-0.924660003
17,W-L,w,l,0528dromstd,-0.125767686
17,W-L,w,l,0530dromstd,-0.290694208
17,W-L,w,l,0603dromstd,-1.004375342
17,W-L,w,l,0610dromstd,-0.859053084
17,W-L,w,l,0624dromstd,2.294874853
17,W-L,w,l,0628dromstd,0.397634227
18,G-C,g,c,0423dromstd,1.122214433
18,G-C,g,c,0428dromstd,1.880299316
18,G-C,g,c,0430dromstd,-1.535589652
18,G-C,g,c,0504dromstd,-0.15229822
18,G-C,g,c,0511dromstd,-0.766835263
18,G-C,g,c,0525dromstd,-0.668342174
18,G-C,g,c,0528dromstd,-0.446080928
18,G-C,g,c,0530dromstd,-0.880082001
18,G-C,g,c,0603dromstd,-0.09219039
18,G-C,g,c,0610dromstd,-0.494784291
18,G-C,g,c,0624dromstd,-0.650339128
18,G-C,g,c,0628dromstd,-0.280576836
19,W-C,w,c,0423dromstd,-0.540561423
19,W-C,w,c,0428dromstd,1.999699915
19,W-C,w,c,0430dromstd,0.803397836
19,W-C,w,c,0504dromstd,0.336902527
19,W-C,w,c,0511dromstd,-0.608395474
19,W-C,w,c,0525dromstd,-0.505092129
19,W-C,w,c,0528dromstd,-0.79871936
19,W-C,w,c,0530dromstd,-0.79840054
19,W-C,w,c,0603dromstd,-0.933260473
19,W-C,w,c,0610dromstd,-0.464216281
19,W-C,w,c,0624dromstd,-0.248549149
19,W-C,w,c,0628dromstd,0.211789914
20,W-C,w,c,0423dromstd,0.213994793
20,W-C,w,c,0428dromstd,3.437283119
20,W-C,w,c,0430dromstd,-0.596666829
20,W-C,w,c,0504dromstd,-0.602770574
20,W-C,w,c,0511dromstd,-0.750525284
20,W-C,w,c,0525dromstd,-0.97805955
20,W-C,w,c,0528dromstd,-0.043485385
20,W-C,w,c,0530dromstd,-0.44124435
20,W-C,w,c,0603dromstd,0.490404496
20,W-C,w,c,0610dromstd,-0.470584616
20,W-C,w,c,0624dromstd,2.150977977
20,W-C,w,c,0628dromstd,-0.567790774
21,W-L,w,l,0423dromstd,-0.308919545
21,W-L,w,l,0428dromstd,-0.187719048
21,W-L,w,l,0430dromstd,-0.508717096
21,W-L,w,l,0504dromstd,-1.320265003
21,W-L,w,l,0511dromstd,-0.600240485
21,W-L,w,l,0525dromstd,-0.29301964
21,W-L,w,l,0528dromstd,-0.252129791
21,W-L,w,l,0530dromstd,0.076071566
21,W-L,w,l,0603dromstd,-0.884027102
21,W-L,w,l,0610dromstd,-0.902357765
21,W-L,w,l,0624dromstd,-0.278449799
21,W-L,w,l,0628dromstd,-0.608821337
22,G-L,g,l,0423dromstd,-0.685050911
22,G-L,g,l,0428dromstd,0.129886544
22,G-L,g,l,0430dromstd,0.50389334
