iguanaID,tx,diet,lps,time,totri
13,G-C,g,c,0511totri,5.093869732
13,G-C,g,c,0525totri,3.793896321
13,G-C,g,c,0528totri,1.739130435
13,G-C,g,c,0530totri,3.223659889
13,G-C,g,c,0603totri,5.062318238
13,G-C,g,c,0610totri,5.18989899
13,G-C,g,c,0624totri,6.731958763
13,G-C,g,c,0628totri,6.24742268
14,G-L,g,l,0324totri,1.271186441
14,G-L,g,l,0423totri,1.593447506
14,G-L,g,l,0428totri,1.344005957
14,G-L,g,l,0430totri,2.114673243
14,G-L,g,l,0504totri,3.060730253
14,G-L,g,l,0511totri,4.239463602
14,G-L,g,l,0525totri,1.099498328
14,G-L,g,l,0528totri,1.095317726
14,G-L,g,l,0603totri,3.317407561
14,G-L,g,l,0610totri,5.585858586
14,G-L,g,l,0624totri,6.529896907
14,G-L,g,l,0628totri,3.853608247
15,G-C,g,c,0324totri,0.688559322
15,G-C,g,c,0423totri,6.297468354
15,G-C,g,c,0428totri,1.584139985
15,G-C,g,c,0430totri,1.874229346
15,G-C,g,c,0504totri,4.053651267
15,G-C,g,c,0511totri,5.501915709
15,G-C,g,c,0528totri,2.736204013
15,G-C,g,c,0530totri,2.750462107
15,G-C,g,c,0603totri,4.991690902
15,G-C,g,c,0610totri,5.967676768
15,G-C,g,c,0624totri,5.121649485
15,G-C,g,c,0628totri,6.569072165
16,W-C,w,c,0324totri,1.014830508
16,W-C,w,c,0423totri,1.973194341
16,W-C,w,c,0428totri,3.136634401
16,W-C,w,c,0430totri,2.373612824
16,W-C,w,c,0504totri,2.583830104
16,W-C,w,c,0511totri,7.176245211
16,W-C,w,c,0525totri,6.642976589
16,W-C,w,c,0528totri,7.144648829
16,W-C,w,c,0530totri,6.576709797
16,W-C,w,c,0603totri,7.05234732
16,W-C,w,c,0610totri,6.519191919
16,W-C,w,c,0624totri,4.610309278
16,W-C,w,c,0628totri,5.193814433
17,W-L,w,l,0324totri,0.701271186
17,W-L,w,l,0423totri,1.161578555
17,W-L,w,l,0428totri,1.584139985
17,W-L,w,l,0430totri,1.40567201
17,W-L,w,l,0504totri,1.782786885
17,W-L,w,l,0511totri,2.831417625
17,W-L,w,l,0525totri,2.081939799
17,W-L,w,l,0528totri,1.52173913
17,W-L,w,l,0530totri,1.536044362
17,W-L,w,l,0603totri,2.864561695
17,W-L,w,l,0610totri,2.4
17,W-L,w,l,0624totri,5.839175258
17,W-L,w,l,0628totri,7.684536082
18,G-C,g,c,0324totri,2.218220339
18,G-C,g,c,0423totri,5.044676098
18,G-C,g,c,0428totri,2.714072971
18,G-C,g,c,0430totri,5.232223592
18,G-C,g,c,0504totri,4.606929955
18,G-C,g,c,0511totri,3.641762452
18,G-C,g,c,0525totri,1.925167224
18,G-C,g,c,0528totri,4.053093645
18,G-C,g,c,0530totri,2.136783734
18,G-C,g,c,0603totri,5.488159535
18,G-C,g,c,0610totri,4.371717172
18,G-C,g,c,0624totri,4.909278351
18,G-C,g,c,0628totri,5.098969072
19,W-C,w,c,0324totri,2.417372881
19,W-C,w,c,0423totri,1.14110201
19,W-C,w,c,0428totri,1.617344842
19,W-C,w,c,0430totri,2.70242499
19,W-C,w,c,0504totri,3.772354694
19,W-C,w,c,0511totri,6.588122605
19,W-C,w,c,0525totri,4.002926421
19,W-C,w,c,0528totri,3.097966728
19,W-C,w,c,0530totri,1.669131238
19,W-C,w,c,0603totri,2.81262983
19,W-C,w,c,0610totri,5.161616162
19,W-C,w,c,0624totri,5.571134021
19,W-C,w,c,0628totri,6.921731526
20,W-C,w,c,0324totri,2.389830508
20,W-C,w,c,0423totri,1.710722264
20,W-C,w,c,0428totri,2.632552404
20,W-C,w,c,0430totri,5.935059597
20,W-C,w,c,0504totri,2.457153502
20,W-C,w,c,0511totri,4.494252874
20,W-C,w,c,0525totri,1.571906355
20,W-C,w,c,0528totri,2.38077634
20,W-C,w,c,0530totri,1.3012939
20,W-C,w,c,0603totri,3.537598671
20,W-C,w,c,0610totri,2.224242424
20,W-C,w,c,0624totri,4.432989691
20,W-C,w,c,0628totri,2.343681679
21,W-L,w,l,0324totri,0.902542373
21,W-L,w,l,0423totri,0.737155622
21,W-L,w,l,0428totri,0.431565968
21,W-L,w,l,0430totri,1.2864776
21,W-L,w,l,0504totri,0.670640835
