iguanaID,diet,time,tx,glucose,mass,bka,agg,lysis,totri,trutri,gly,drom,oxy,osi,cort
7,g,d107,g107,342,85,93.65358084,0.333333333,0.666666667,4.351515152,4.123515255,0.209292591,-0.700796474,0.581886065,-1.282682538,21.966
8,g,d107,g107,340,78,79.12956227,1,0.333333333,7.61010101,5.164195326,3.026370866,-0.68958373,1.289287837,-1.978871568,24.619
9,w,d107,w107,319,69,85.35055813,3.333333333,0,2.543434343,1.391196336,1.5508581,0.566243551,0.864846774,-0.298603223,17.044
10,w,d107,w107,312,53,86.83055312,4.333333333,2,6.66185567,5.258546169,1.699867198,1.782826229,-0.691437126,2.474263356,35.891
11,g,d107,g107,357,72,92.95121033,1.333333333,1.333333333,6.037113402,5.519842829,0.493581231,0.996065388,-0.832917481,1.828982869,16.658
12,w,d107,w107,324,56,92.14850119,2.666666667,1.333333333,3.208247423,2.805500982,0.520141656,-0.227992453,0.864846774,-1.092839226,25.663
13,g,d107,g107,256,54,90.71867553,3,3,6.731958763,5.782711198,1.055776892,0.599881782,0.44040571,0.159476072,27.614
14,g,d107,g107,466,65,10.8240311,,,6.529896907,1.896660118,6.257193448,-0.403658769,-0.196255885,-0.207402884,31.612
15,g,d107,g107,303,95,90.61833689,0.333333333,1,5.121649485,4.75913556,0.33643205,-1.111930405,0.935586951,-2.047517356,16.944
16,w,d107,w107,323,67,39.445629,1,0.666666667,4.610309278,2.48172888,2.857459053,-0.788629632,1.855209255,-2.643838887,37.987
17,w,d107,w107,252,70,88.28546344,3,3,5.839175258,5.101768173,0.816733068,2.294874853,-0.33773624,2.632611093,0.544
18,g,d107,g107,328,79,77.77499059,3,0.333333333,4.909278351,3.13280943,2.341744135,-0.650339128,-0.620696949,-0.029642179,39.748
19,w,d107,w107,239,67,87.34872115,1,1.333333333,5.571134021,5.042829077,0.540061974,-0.248549149,0.44040571,-0.688954859,24.142
20,w,d107,w107,395,62,79.18902059,2.333333333,4.666666667,4.432989691,3.697445972,0.907481186,2.150977977,0.511145887,1.63983209,23.963
21,w,d107,w107,351,104,87.49844042,2,1.666666667,2.670103093,2.306876228,0.500221337,-0.278449799,1.006327128,-1.284776927,1.92
22,g,d107,g107,346,55,84.60386775,2,1.666666667,4.569072165,3.993713163,0.672864099,-0.612963316,0.086704824,-0.69966814,29.847
23,g,d107,g107,375,86,11.7654398,6.333333333,7,7.560824742,3.066011788,5.993802568,0.207435756,0.44040571,-0.232969954,23.822
24,g,d107,g107,263,69,10.16843419,8.666666667,9,9.210309278,4.566994106,6.093404161,-0.803579957,0.581886065,-1.385466021,13.396
25,g,d107,g107,220,67,11.49095446,,,8.944329897,4.847937132,5.340858787,-0.642863965,-0.054775531,-0.588088435,24.808
26,w,d107,w107,366,66,90.06862133,3,1.333333333,4.032989691,3.790962672,0.239043825,-0.889544324,-0.125515708,-0.764028616,25.29
27,w,d107,w107,360,75,88.12227074,3.333333333,3.666666667,5.907216495,5.103732809,0.905267818,-0.355070213,-0.33773624,-0.017333974,35.89
28,g,d107,g107,244,101,11.34123518,,,9.560824742,4.201571709,7.078353254,-0.310219239,-1.257358544,0.947139305,21.553
29,g,d107,g107,334,75,10.29320025,12,8,8.971134021,4.293516699,6.157591855,-0.319563192,0.157445001,-0.477008193,12.224
30,w,d107,w107,248,60,90.51777916,0.666666667,0.333333333,2.832989691,2.600392927,0.305444887,-0.953083204,-0.832917481,-0.120165724,37.44
31,g,d107,g107,236,55,12.13973799,8,9,7.884536082,2.78978389,6.817175741,-0.06167009,0.581886065,-0.643556154,31.415
32,w,d107,w107,363,37,82.25826575,3,2.333333333,3.707216495,2.597249509,1.482957061,0.024294278,1.501508369,-1.477214091,43.004
33,w,d107,w107,320,50,92.51403618,2,2.666666667,1.913402062,1.851473477,0.126162019,2.427558985,-0.549956772,2.977515757,51.015
34,w,d107,w107,300,79,90.16843419,1,1,2.418556701,2.295088409,0.179282869,1.644535725,-2.884382622,4.528918347,42.086
35,w,d107,w107,258,58,87.82283219,0,0,3.562886598,2.742632613,1.084550686,-0.553162017,0.015964646,-0.569126663,40.485
36,g,d107,g107,236,45,42.00873362,2.333333333,1.333333333,5.222680412,2.849901768,3.160690571,-1.048391525,0.086704824,-1.135096349,25.29
