iguanaID,tx,diet,lps,time,agg
15,G-C,g,c,0603agg,1
15,G-C,g,c,0610agg,0
15,G-C,g,c,0624agg,0.333333333
15,G-C,g,c,0628agg,0
16,W-C,w,c,0324agg,2
16,W-C,w,c,0423agg,1
16,W-C,w,c,0428agg,2.333333333
16,W-C,w,c,0430agg,1
16,W-C,w,c,0504agg,1
16,W-C,w,c,0511agg,2
16,W-C,w,c,0525agg,1.333333333
16,W-C,w,c,0528agg,6
16,W-C,w,c,0530agg,2
16,W-C,w,c,0603agg,0
16,W-C,w,c,0610agg,3
16,W-C,w,c,0624agg,1
16,W-C,w,c,0628agg,2.666666667
17,W-L,w,l,0324agg,0
17,W-L,w,l,0423agg,1
17,W-L,w,l,0428agg,2
17,W-L,w,l,0430agg,0
17,W-L,w,l,0504agg,1
17,W-L,w,l,0511agg,0
17,W-L,w,l,0525agg,0.666666667
17,W-L,w,l,0528agg,1
17,W-L,w,l,0530agg,2
17,W-L,w,l,0603agg,1
17,W-L,w,l,0610agg,1.666666667
17,W-L,w,l,0624agg,3
18,G-C,g,c,0324agg,1
18,G-C,g,c,0428agg,0
18,G-C,g,c,0430agg,1
18,G-C,g,c,0504agg,0
18,G-C,g,c,0511agg,1
18,G-C,g,c,0525agg,1
18,G-C,g,c,0530agg,1.666666667
18,G-C,g,c,0603agg,2
18,G-C,g,c,0610agg,0
18,G-C,g,c,0624agg,3
19,W-C,w,c,0324agg,3
19,W-C,w,c,0423agg,0.666666667
19,W-C,w,c,0428agg,0
19,W-C,w,c,0430agg,0
19,W-C,w,c,0504agg,4
19,W-C,w,c,0511agg,1
19,W-C,w,c,0525agg,2
19,W-C,w,c,0528agg,1.333333333
19,W-C,w,c,0530agg,1
19,W-C,w,c,0603agg,1
19,W-C,w,c,0610agg,3
19,W-C,w,c,0624agg,1
19,W-C,w,c,0628agg,6
20,W-C,w,c,0324agg,0
20,W-C,w,c,0423agg,2
20,W-C,w,c,0428agg,0
20,W-C,w,c,0430agg,0
20,W-C,w,c,0504agg,0
20,W-C,w,c,0511agg,2
20,W-C,w,c,0525agg,1
20,W-C,w,c,0528agg,2
20,W-C,w,c,0530agg,1
20,W-C,w,c,0603agg,0
20,W-C,w,c,0610agg,0
20,W-C,w,c,0624agg,2.333333333
20,W-C,w,c,0628agg,3.666666667
21,W-L,w,l,0324agg,0
21,W-L,w,l,0423agg,0
21,W-L,w,l,0428agg,0
21,W-L,w,l,0430agg,2
21,W-L,w,l,0504agg,0.666666667
21,W-L,w,l,0511agg,1
21,W-L,w,l,0525agg,2
21,W-L,w,l,0528agg,2
21,W-L,w,l,0530agg,3
21,W-L,w,l,0603agg,1.666666667
21,W-L,w,l,0610agg,1
21,W-L,w,l,0624agg,2
21,W-L,w,l,0628agg,2
22,G-L,g,l,0324agg,1
22,G-L,g,l,0423agg,3
22,G-L,g,l,0428agg,1
22,G-L,g,l,0430agg,1.666666667
22,G-L,g,l,0511agg,2
22,G-L,g,l,0525agg,2
22,G-L,g,l,0528agg,5
22,G-L,g,l,0530agg,4
22,G-L,g,l,0603agg,1.333333333
22,G-L,g,l,0610agg,2
22,G-L,g,l,0624agg,2
22,G-L,g,l,0628agg,1
23,G-C,g,c,0324agg,3
23,G-C,g,c,0423agg,3
23,G-C,g,c,0428agg,3
23,G-C,g,c,0430agg,1
23,G-C,g,c,0504agg,0
23,G-C,g,c,0511agg,1.333333333
23,G-C,g,c,0525agg,3
23,G-C,g,c,0528agg,3
23,G-C,g,c,0530agg,2
23,G-C,g,c,0603agg,0
23,G-C,g,c,0610agg,2
23,G-C,g,c,0624agg,6.333333333
23,G-C,g,c,0628agg,8.333333333
24,G-L,g,l,0324agg,2
24,G-L,g,l,0423agg,5
24,G-L,g,l,0428agg,2
24,G-L,g,l,0430agg,2
24,G-L,g,l,0504agg,2
24,G-L,g,l,0511agg,1.333333333
24,G-L,g,l,0525agg,1
24,G-L,g,l,0528agg,1
24,G-L,g,l,0530agg,3
24,G-L,g,l,0603agg,1
24,G-L,g,l,0610agg,9
24,G-L,g,l,0624agg,8.666666667
24,G-L,g,l,0628agg,7.666666667
25,G-C,g,c,0324agg,2
25,G-C,g,c,0423agg,3
25,G-C,g,c,0428agg,2
25,G-C,g,c,0430agg,0.333333333
25,G-C,g,c,0511agg,5.333333333
25,G-C,g,c,0525agg,4
25,G-C,g,c,0528agg,1
25,G-C,g,c,0530agg,7.666666667
25,G-C,g,c,0603agg,4
25,G-C,g,c,0610agg,8.333333333
26,W-L,w,l,0324agg,1.666666667
26,W-L,w,l,0423agg,2.666666667
26,W-L,w,l,0428agg,2.333333333
26,W-L,w,l,0430agg,2
26,W-L,w,l,0504agg,0.333333333
26,W-L,w,l,0511agg,1.333333333
26,W-L,w,l,0525agg,3.666666667
26,W-L,w,l,0528agg,4
26,W-L,w,l,0530agg,3.666666667
26,W-L,w,l,0603agg,4
26,W-L,w,l,0610agg,4
26,W-L,w,l,0624agg,3
26,W-L,w,l,0628agg,3.333333333
27,W-C,w,c,0324agg,0
27,W-C,w,c,0423agg,0
27,W-C,w,c,0428agg,2
27,W-C,w,c,0430agg,2
27,W-C,w,c,0504agg,0
27,W-C,w,c,0511agg,1.666666667
27,W-C,w,c,0525agg,0.666666667
27,W-C,w,c,0528agg,2
27,W-C,w,c,0530agg,1.333333333
27,W-C,w,c,0603agg,3.333333333
27,W-C,w,c,0610agg,0
27,W-C,w,c,0624agg,3.333333333
27,W-C,w,c,0628agg,1.666666667
28,G-L,g,l,0324agg,3
28,G-L,g,l,0423agg,3.333333333
28,G-L,g,l,0428agg,1.666666667
28,G-L,g,l,0430agg,1
28,G-L,g,l,0504agg,0.666666667
28,G-L,g,l,0525agg,1.666666667
28,G-L,g,l,0528agg,2
28,G-L,g,l,0530agg,3.333333333
28,G-L,g,l,0603agg,9.333333333
28,G-L,g,l,0610agg,2
28,G-L,g,l,0628agg,3
29,G-L,g,l,0324agg,2
29,G-L,g,l,0423agg,1.666666667
29,G-L,g,l,0428agg,2.666666667
29,G-L,g,l,0430agg,1
29,G-L,g,l,0511agg,1
29,G-L,g,l,0525agg,12
29,G-L,g,l,0528agg,3
29,G-L,g,l,0530agg,4.666666667
29,G-L,g,l,0610agg,6.666666667
29,G-L,g,l,0624agg,12
30,W-C,w,c,0324agg,0
30,W-C,w,c,0423agg,0
30,W-C,w,c,0428agg,0
30,W-C,w,c,0430agg,0
30,W-C,w,c,0504agg,0
30,W-C,w,c,0511agg,0
30,W-C,w,c,0525agg,0.666666667
30,W-C,w,c,0528agg,0
30,W-C,w,c,0530agg,0
30,W-C,w,c,0603agg,0
30,W-C,w,c,0610agg,0
30,W-C,w,c,0624agg,0.666666667
30,W-C,w,c,0628agg,0
31,G-L,g,l,0324agg,5
31,G-L,g,l,0423agg,3
31,G-L,g,l,0428agg,0.333333333
31,G-L,g,l,0430agg,3.333333333
31,G-L,g,l,0504agg,1
31,G-L,g,l,0511agg,9
31,G-L,g,l,0525agg,2
31,G-L,g,l,0528agg,4
31,G-L,g,l,0530agg,2.666666667
31,G-L,g,l,0603agg,8.666666667
31,G-L,g,l,0610agg,2
31,G-L,g,l,0624agg,8
31,G-L,g,l,0628agg,8.666666667
32,W-L,w,l,0324agg,1
32,W-L,w,l,0423agg,1
32,W-L,w,l,0428agg,1
32,W-L,w,l,0511agg,2.333333333
32,W-L,w,l,0525agg,0
32,W-L,w,l,0528agg,3
32,W-L,w,l,0530agg,1
32,W-L,w,l,0603agg,0.666666667
32,W-L,w,l,0610agg,2
32,W-L,w,l,0624agg,3
32,W-L,w,l,0628agg,2.333333333
33,W-C,w,c,0324agg,0.666666667
33,W-C,w,c,0423agg,3.333333333
33,W-C,w,c,0428agg,1
33,W-C,w,c,0430agg,0.666666667
33,W-C,w,c,0504agg,0.666666667
33,W-C,w,c,0511agg,1.333333333
33,W-C,w,c,0525agg,0
33,W-C,w,c,0528agg,1.333333333
33,W-C,w,c,0530agg,1
33,W-C,w,c,0603agg,0
33,W-C,w,c,0610agg,0
33,W-C,w,c,0624agg,2
33,W-C,w,c,0628agg,2.333333333
34,W-C,w,c,0324agg,1
34,W-C,w,c,0423agg,3
34,W-C,w,c,0428agg,4
34,W-C,w,c,0430agg,0
34,W-C,w,c,0504agg,0
34,W-C,w,c,0511agg,1
34,W-C,w,c,0525agg,1
34,W-C,w,c,0528agg,2
34,W-C,w,c,0530agg,1
34,W-C,w,c,0603agg,0
34,W-C,w,c,0610agg,0
34,W-C,w,c,0624agg,1
34,W-C,w,c,0628agg,5
35,W-L,w,l,0324agg,2
35,W-L,w,l,0423agg,3.333333333
35,W-L,w,l,0428agg,3.333333333
35,W-L,w,l,0430agg,4
35,W-L,w,l,0504agg,0.666666667
35,W-L,w,l,0511agg,1
35,W-L,w,l,0525agg,0.333333333
35,W-L,w,l,0528agg,1.666666667
35,W-L,w,l,0530agg,2
35,W-L,w,l,0603agg,1.333333333
35,W-L,w,l,0610agg,1
35,W-L,w,l,0624agg,0
35,W-L,w,l,0628agg,1
36,G-L,g,l,0324agg,3
36,G-L,g,l,0504agg,1
36,G-L,g,l,0511agg,3
36,G-L,g,l,0525agg,3
36,G-L,g,l,0528agg,3.666666667
36,G-L,g,l,0530agg,8.333333333
36,G-L,g,l,0610agg,2
36,G-L,g,l,0624agg,2.333333333
