iguanaID,tx,diet,lps,time,oxy
10,W-L,w,l,0504oxystd,1.475578639
10,W-L,w,l,0511oxystd,0.063043487
10,W-L,w,l,0525oxystd,-0.189142612
10,W-L,w,l,0528oxystd,0.298197985
10,W-L,w,l,0530oxystd,0.943475347
10,W-L,w,l,0603oxystd,0.495275521
10,W-L,w,l,0610oxystd,0.701523903
10,W-L,w,l,0624oxystd,-0.691437126
10,W-L,w,l,0628oxystd,-0.369859581
11,G-C,g,c,0324oxystd,-0.047246923
11,G-C,g,c,0423oxystd,-1.119768469
11,G-C,g,c,0428oxystd,-0.504860753
11,G-C,g,c,0430oxystd,0.109120511
11,G-C,g,c,0504oxystd,-0.640840711
11,G-C,g,c,0511oxystd,-0.551354003
11,G-C,g,c,0525oxystd,-0.256227676
11,G-C,g,c,0528oxystd,0.410282326
11,G-C,g,c,0530oxystd,1.279615932
11,G-C,g,c,0603oxystd,1.123281472
11,G-C,g,c,0610oxystd,0.960738014
11,G-C,g,c,0624oxystd,-0.832917481
11,G-C,g,c,0628oxystd,0.553804098
12,W-L,w,l,0324oxystd,-0.21320634
12,W-L,w,l,0423oxystd,-68.6606871
12,W-L,w,l,0428oxystd,-0.504860753
12,W-L,w,l,0430oxystd,0.16195541
12,W-L,w,l,0504oxystd,-0.680773152
12,W-L,w,l,0511oxystd,-0.60720832
12,W-L,w,l,0525oxystd,0.750048287
12,W-L,w,l,0528oxystd,0.578408838
12,W-L,w,l,0530oxystd,-0.401086992
12,W-L,w,l,0603oxystd,-2.487752744
12,W-L,w,l,0610oxystd,-0.187210191
12,W-L,w,l,0624oxystd,0.864846774
12,W-L,w,l,0628oxystd,0.92326957
13,G-C,g,c,0324oxystd,-1.153643037
13,G-C,g,c,0423oxystd,-0.538632458
13,G-C,g,c,0428oxystd,0.081530308
13,G-C,g,c,0430oxystd,0.531799707
13,G-C,g,c,0504oxystd,-0.241516305
13,G-C,g,c,0511oxystd,0.118897804
13,G-C,g,c,0525oxystd,1.186101205
13,G-C,g,c,0528oxystd,0.914661861
13,G-C,g,c,0530oxystd,-0.120969838
13,G-C,g,c,0603oxystd,-0.603734892
13,G-C,g,c,0610oxystd,-0.039087842
13,G-C,g,c,0624oxystd,0.44040571
13,G-C,g,c,0628oxystd,0.46143773
14,G-L,g,l,0324oxystd,0.284671911
14,G-L,g,l,0423oxystd,-0.47406179
14,G-L,g,l,0428oxystd,-0.025086249
14,G-L,g,l,0430oxystd,0.003450712
14,G-L,g,l,0504oxystd,-1.000232676
14,G-L,g,l,0511oxystd,-0.495499686
14,G-L,g,l,0525oxystd,0.246910306
14,G-L,g,l,0528oxystd,0.634451008
14,G-L,g,l,0530oxystd,-2.417930501
14,G-L,g,l,0603oxystd,0.338274034
14,G-L,g,l,0610oxystd,0.701523903
14,G-L,g,l,0624oxystd,-0.196255885
14,G-L,g,l,0628oxystd,0.797327496
15,G-C,g,c,0324oxystd,0.948509579
15,G-C,g,c,0423oxystd,2.496188933
15,G-C,g,c,0428oxystd,0.401379978
15,G-C,g,c,0430oxystd,-0.94757748
15,G-C,g,c,0504oxystd,0.636997387
15,G-C,g,c,0511oxystd,0.621586659
15,G-C,g,c,0525oxystd,0.448165498
15,G-C,g,c,0528oxystd,0.242155815
15,G-C,g,c,0530oxystd,0.4952879
15,G-C,g,c,0603oxystd,0.861612326
15,G-C,g,c,0610oxystd,-0.150179604
15,G-C,g,c,0624oxystd,0.935586951
15,G-C,g,c,0628oxystd,1.06566772
16,W-C,w,c,0324oxystd,0.561270939
16,W-C,w,c,0423oxystd,0.817351568
16,W-C,w,c,0428oxystd,0.241455143
16,W-C,w,c,0430oxystd,-1.792935873
16,W-C,w,c,0504oxystd,1.156119115
