iguanaID,tx,diet,lps,time,lys
14,G-L,g,l,0610lys,4.333333333
14,G-L,g,l,0628lys,3
15,G-C,g,c,0324lys,1
15,G-C,g,c,0423lys,4
15,G-C,g,c,0428lys,3
15,G-C,g,c,0430lys,1.333333333
15,G-C,g,c,0511lys,0.333333333
15,G-C,g,c,0525lys,0.333333333
15,G-C,g,c,0528lys,0.333333333
15,G-C,g,c,0530lys,0.333333333
15,G-C,g,c,0603lys,1.666666667
15,G-C,g,c,0610lys,0.333333333
15,G-C,g,c,0624lys,1
15,G-C,g,c,0628lys,0.666666667
16,W-C,w,c,0324lys,4
16,W-C,w,c,0423lys,2
16,W-C,w,c,0428lys,3.333333333
16,W-C,w,c,0430lys,1.333333333
16,W-C,w,c,0504lys,2
16,W-C,w,c,0511lys,0.666666667
16,W-C,w,c,0525lys,0.333333333
16,W-C,w,c,0528lys,4
16,W-C,w,c,0530lys,2
16,W-C,w,c,0603lys,0
16,W-C,w,c,0610lys,2
16,W-C,w,c,0624lys,0.666666667
16,W-C,w,c,0628lys,2.666666667
17,W-L,w,l,0324lys,0
17,W-L,w,l,0423lys,1.333333333
17,W-L,w,l,0428lys,1.666666667
17,W-L,w,l,0430lys,0
17,W-L,w,l,0504lys,1
17,W-L,w,l,0511lys,0.333333333
17,W-L,w,l,0525lys,1.666666667
17,W-L,w,l,0528lys,0.666666667
17,W-L,w,l,0530lys,1.333333333
17,W-L,w,l,0603lys,0.666666667
17,W-L,w,l,0610lys,0.333333333
17,W-L,w,l,0624lys,3
18,G-C,g,c,0324lys,0.666666667
18,G-C,g,c,0428lys,0
18,G-C,g,c,0430lys,1
18,G-C,g,c,0504lys,0
18,G-C,g,c,0511lys,0.333333333
18,G-C,g,c,0525lys,0.333333333
18,G-C,g,c,0528lys,1.666666667
18,G-C,g,c,0530lys,1.333333333
18,G-C,g,c,0603lys,1.333333333
18,G-C,g,c,0610lys,1.333333333
18,G-C,g,c,0624lys,0.333333333
19,W-C,w,c,0324lys,3
19,W-C,w,c,0423lys,1
19,W-C,w,c,0428lys,0.666666667
19,W-C,w,c,0430lys,0
19,W-C,w,c,0504lys,2
19,W-C,w,c,0511lys,1
19,W-C,w,c,0525lys,0.666666667
19,W-C,w,c,0528lys,1
19,W-C,w,c,0530lys,1.333333333
19,W-C,w,c,0603lys,1.333333333
19,W-C,w,c,0610lys,2
19,W-C,w,c,0624lys,1.333333333
19,W-C,w,c,0628lys,0
20,W-C,w,c,0324lys,0.333333333
20,W-C,w,c,0423lys,4.666666667
20,W-C,w,c,0428lys,0.666666667
20,W-C,w,c,0430lys,0.666666667
20,W-C,w,c,0504lys,0.333333333
20,W-C,w,c,0511lys,1.666666667
20,W-C,w,c,0525lys,1
20,W-C,w,c,0528lys,1.333333333
20,W-C,w,c,0530lys,2.666666667
20,W-C,w,c,0603lys,0
20,W-C,w,c,0610lys,0.333333333
20,W-C,w,c,0624lys,4.666666667
20,W-C,w,c,0628lys,2
21,W-L,w,l,0324lys,0.666666667
21,W-L,w,l,0423lys,1
21,W-L,w,l,0428lys,0.666666667
21,W-L,w,l,0430lys,2
21,W-L,w,l,0504lys,0.666666667
21,W-L,w,l,0511lys,0.666666667
21,W-L,w,l,0525lys,1.666666667
21,W-L,w,l,0528lys,1.666666667
21,W-L,w,l,0530lys,2.666666667
21,W-L,w,l,0603lys,1.666666667
21,W-L,w,l,0610lys,2
21,W-L,w,l,0624lys,1.666666667
21,W-L,w,l,0628lys,2
22,G-L,g,l,0324lys,2
22,G-L,g,l,0423lys,3.333333333
22,G-L,g,l,0428lys,1.333333333
22,G-L,g,l,0430lys,1.333333333
22,G-L,g,l,0511lys,3
22,G-L,g,l,0525lys,1.333333333
22,G-L,g,l,0528lys,4.666666667
22,G-L,g,l,0530lys,2.666666667
22,G-L,g,l,0603lys,5
22,G-L,g,l,0610lys,1
22,G-L,g,l,0624lys,1.666666667
22,G-L,g,l,0628lys,1
23,G-C,g,c,0324lys,3
23,G-C,g,c,0423lys,3.333333333
23,G-C,g,c,0428lys,3.666666667
23,G-C,g,c,0430lys,1.333333333
23,G-C,g,c,0504lys,0.666666667
23,G-C,g,c,0511lys,0.666666667
23,G-C,g,c,0525lys,3
23,G-C,g,c,0528lys,3
23,G-C,g,c,0530lys,3
23,G-C,g,c,0603lys,0.666666667
23,G-C,g,c,0610lys,0.333333333
23,G-C,g,c,0624lys,7
23,G-C,g,c,0628lys,9.333333333
24,G-L,g,l,0324lys,2
24,G-L,g,l,0423lys,3
24,G-L,g,l,0428lys,2.333333333
24,G-L,g,l,0430lys,1.333333333
24,G-L,g,l,0504lys,2
24,G-L,g,l,0511lys,0
24,G-L,g,l,0525lys,0
24,G-L,g,l,0528lys,0.666666667
24,G-L,g,l,0530lys,1.666666667
24,G-L,g,l,0603lys,0.333333333
24,G-L,g,l,0610lys,9.666666667
24,G-L,g,l,0624lys,9
24,G-L,g,l,0628lys,0.333333333
25,G-C,g,c,0324lys,2.333333333
25,G-C,g,c,0423lys,3.333333333
25,G-C,g,c,0428lys,2.333333333
25,G-C,g,c,0430lys,0.333333333
25,G-C,g,c,0511lys,1.333333333
25,G-C,g,c,0525lys,1.666666667
25,G-C,g,c,0528lys,1.333333333
25,G-C,g,c,0530lys,8
25,G-C,g,c,0603lys,2
25,G-C,g,c,0610lys,7.666666667
26,W-L,w,l,0324lys,2.333333333
26,W-L,w,l,0423lys,3.333333333
26,W-L,w,l,0428lys,3.333333333
26,W-L,w,l,0430lys,2
26,W-L,w,l,0504lys,0
26,W-L,w,l,0511lys,0.333333333
26,W-L,w,l,0525lys,2
26,W-L,w,l,0528lys,2.666666667
26,W-L,w,l,0530lys,3.333333333
26,W-L,w,l,0603lys,2.333333333
26,W-L,w,l,0610lys,3
26,W-L,w,l,0624lys,1.333333333
26,W-L,w,l,0628lys,2.666666667
27,W-C,w,c,0324lys,0.666666667
